pdb_id,target,cluster
3coz,5.57,28
3coy,6.02,28
3pxf,4.43,29
4eor,6.30,29
2xnb,6.83,29
1pxn,7.15,29
2fvd,8.52,29
4k77,6.63,30
4e5w,7.66,30
4ivb,8.72,30
4ivd,9.52,30
4ivc,10.00,30
4f09,6.70,31
4gfm,7.22,31
4hge,7.92,31
4e6q,8.36,31
4jia,9.22,31
2brb,4.86,32
2br1,5.14,32
3jvr,5.72,32
3jvs,6.54,32
1nvq,8.25,32
3acw,4.76,33
4ea2,6.44,33
2zcr,6.87,33
2zy1,7.40,33
2zcq,8.82,33
1bcu,3.28,34
3bv9,5.36,34
1oyt,7.24,34
2zda,8.40,34
3utu,10.92,34
3u9q,4.38,35
2yfe,6.63,35
3fur,8.00,35
3b1m,8.48,35
2p4y,9.00,35
3uo4,6.52,36
3up2,7.40,36
3e5a,8.23,36
2wtv,8.74,36
3myg,10.70,36
3kgp,2.57,37
1c5z,4.01,37
1o5b,5.77,37
1owh,7.40,37
1sqa,9.21,37
4jsz,2.30,38
3kwa,4.08,38
2weg,6.50,38
3ryj,7.80,38
3dd0,9.00,38
2xdl,3.10,39
3b27,5.16,39
1yc1,6.17,39
3rlr,7.52,39
2yki,9.46,39
1z95,7.12,40
3b68,8.40,40
3b5r,8.77,40
3b65,9.27,40
3g0w,9.52,40
4u4s,2.92,41
1p1q,4.89,41
1syi,5.44,41
1p1n,6.80,41
2al5,8.40,41
3g2z,2.36,42
3g31,2.89,42
4de2,4.12,42
4de3,5.52,42
4de1,5.96,42
1vso,4.72,43
4dld,5.82,43
3gbb,6.90,43
3fv2,8.11,43
3fv1,9.30,43
4mgd,4.69,44
2qe4,7.96,44
1qkt,9.04,44
2pog,9.54,44
2p15,10.30,44
2y5h,5.79,45
1lpg,7.09,45
2xbv,8.43,45
1z6e,9.72,45
1mq6,11.15,45
1nc3,5.00,46
1nc1,6.12,46
1y6r,10.11,46
4f2w,11.30,46
4f3c,11.82,46
1uto,2.27,47
4abg,3.57,47
3gy4,5.10,47
1k1i,6.58,47
1o3f,7.96,47
2yge,5.06,48
2fxs,6.06,48
2iwx,6.68,48
2wer,7.05,48
2vw5,8.52,48
4kzq,6.10,49
4kzu,6.50,49
4j21,7.41,49
4j3l,7.80,49
3kr8,8.10,49
2ymd,3.16,50
2wnc,6.32,50
2xys,7.42,50
2wn9,8.52,50
2x00,11.33,50
3ozt,4.13,51
3ozs,5.33,51
3oe5,6.88,51
3oe4,7.47,51
3nw9,9.00,51
3ao4,2.07,52
3zt2,2.84,52
3zsx,3.28,52
4cig,3.67,52
3zso,5.12,52
3n7a,3.70,53
4ciw,4.82,53
3n86,5.64,53
3n76,6.85,53
2xb8,7.59,53
4bkt,3.62,54
4w9c,4.65,54
4w9l,5.02,54
4w9i,5.96,54
4w9h,6.73,54
3nq9,4.03,55
3ueu,5.24,55
3uev,5.89,55
3uew,6.31,55
3uex,6.92,55
3lka,2.82,56
3ehy,5.85,56
3tsk,7.17,56
3nx7,8.10,56
4gr0,9.55,56
3dxg,2.40,57
3d6q,3.76,57
1w4o,5.22,57
1o0h,5.92,57
1u1b,7.80,57
